stop_id,direction_id,stop_name,station_name,station_descriptive_name,station_id,order,red,blue,green
30268,S,Bryn Mawr (95th-bound),Bryn Mawr,Bryn Mawr (Red Line),41380,6,TRUE,FALSE,FALSE
30267,N,Bryn Mawr (Howard-bound),Bryn Mawr,Bryn Mawr (Red Line),41380,6,TRUE,FALSE,FALSE
30067,S,Berwyn (95th-bound),Berwyn,Berwyn (Red Line),40340,7,TRUE,FALSE,FALSE
30066,N,Berwyn (Howard-bound),Berwyn,Berwyn (Red Line),40340,7,TRUE,FALSE,FALSE
30230,S,Argyle (95th-bound),Argyle,Argyle (Red Line),41200,8,TRUE,FALSE,FALSE
30229,N,Argyle (Howard-bound),Argyle,Argyle (Red Line),41200,8,TRUE,FALSE,FALSE
30150,S,Lawrence (95th-bound),Lawrence,Lawrence (Red Line),40770,9,TRUE,FALSE,FALSE
30149,N,Lawrence (Howard-bound),Lawrence,Lawrence (Red Line),40770,9,TRUE,FALSE,FALSE
30106,S,Wilson (95th-bound),Wilson,Wilson (Red & Purple Lines),40540,10,TRUE,FALSE,FALSE
30105,N,Wilson (Howard-bound),Wilson,Wilson (Red & Purple Lines),40540,10,TRUE,FALSE,FALSE
30137,N,Chicago (Kimball-Linden-bound),Chicago,Chicago (Brown & Purple Lines),40710,18,FALSE,FALSE,FALSE
30018,N,Damen (Kimball-bound),Damen,Damen (Brown Line),40090,5,FALSE,FALSE,FALSE
30019,S,Damen (Loop-bound),Damen,Damen (Brown Line),40090,5,FALSE,FALSE,FALSE
30103,N,Diversey (Kimball-Linden-bound),Diversey,Diversey (Brown & Purple Lines),40530,13,FALSE,FALSE,FALSE
30104,S,Diversey (Loop-bound),Diversey,Diversey (Brown & Purple Lines),40530,13,FALSE,FALSE,FALSE
30130,S,Western (O'Hare Branch) (Forest Pk-bound),Western/O'Hare Branch,Western (Blue Line - O'Hare Branch),40670,11,FALSE,TRUE,FALSE
30129,N,Western (O'Hare Branch) (O'Hare-bound),Western/O'Hare Branch,Western (Blue Line - O'Hare Branch),40670,11,FALSE,TRUE,FALSE
30167,N,Francisco (Kimball-bound),Francisco,Francisco (Brown Line),40870,2,FALSE,FALSE,FALSE
30168,S,Francisco (Loop-bound),Francisco,Francisco (Brown Line),40870,2,FALSE,FALSE,FALSE
30235,N,Fullerton (Kimball-Linden-bound),Fullerton,"Fullerton (Red, Brown & Purple Lines)",41220,15,FALSE,FALSE,FALSE
30236,S,Fullerton (Loop-bound),Fullerton,"Fullerton (Red, Brown & Purple Lines)",41220,15,FALSE,FALSE,FALSE
30166,W,H.W. Library (Inner Loop),Harold Washington Library-State/Van Buren,"Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink Lines)",40850,24,FALSE,FALSE,FALSE
30165,E,H.W. Library (Outer Loop),Harold Washington Library-State/Van Buren,"Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink Lines)",40850,24,FALSE,FALSE,FALSE
30374,S,Clark/Lake (Forest Pk-bound),Clark/Lake,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink Lines)",40380,16,FALSE,TRUE,FALSE
30375,N,Clark/Lake (O'Hare-bound),Clark/Lake,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink Lines)",40380,16,FALSE,TRUE,FALSE
30281,N,Irving Park (Kimball-bound),Irving Park,Irving Park (Brown Line),41460,7,FALSE,FALSE,FALSE
30282,S,Irving Park (Loop-bound),Irving Park,Irving Park (Brown Line),41460,7,FALSE,FALSE,FALSE
30225,N,Kedzie (Kimball-bound),Kedzie,Kedzie (Brown Line),41180,1,FALSE,FALSE,FALSE
30226,S,Kedzie (Loop-bound),Kedzie,Kedzie (Brown Line),41180,1,FALSE,FALSE,FALSE
30210,S,47th (63rd-bound),47th,47th (Green Line),41080,23,FALSE,FALSE,TRUE
30209,N,47th (Harlem-bound),47th,47th (Green Line),41080,23,FALSE,FALSE,TRUE
30250,S,Kimball (Loop-bound),Kimball,Kimball (Brown Line),41290,0,FALSE,FALSE,FALSE
30249,N,Kimball (Terminal arrival),Kimball,Kimball (Brown Line),41290,0,FALSE,FALSE,FALSE
30025,S,51st (63rd-bound),51st,51st (Green Line),40130,24,FALSE,FALSE,TRUE
30024,N,51st (Harlem-bound),51st,51st (Green Line),40130,24,FALSE,FALSE,TRUE
30100,S,Garfield (63rd-bound),Garfield,Garfield (Green Line),40510,25,FALSE,FALSE,TRUE
30099,N,Garfield (Harlem-bound),Garfield,Garfield (Green Line),40510,25,FALSE,FALSE,TRUE
30031,W,LaSalle/Van Buren (Inner Loop),LaSalle/Van Buren,"LaSalle/Van Buren (Brown, Orange, Purple & Pink Lines)",40160,25,FALSE,FALSE,FALSE
